menu,restaurantChain,Calories(kcal),Sugar(g),Cholesterol(mg),Saturated Fat(g),Sodium(mg),Protein(g),Fiber(g),Calcium(mg),Iron(mg),Vitamin A(IU),Vitamin C(mg),id,RRR_m1
Asian Chicken Lettuce Wrap Tacos,Cheesecake Factory,450,32,80,4,1040,29,3,0,0,0,0,1234322,0.963010463
Dynamite Shrimp,Cheesecake Factory,500,3,155,7,750,19,1,0,0,0,0,1234322,0.691587562
Chicken Pot Stickers,Cheesecake Factory,420,14,100,3,2690,31,1,0,0,0,0,1234322,0.764985218
Ahi Tartare (HI),Cheesecake Factory,240,3,25,2,680,14,4,0,0,0,0,1234322,1.60419743
Tossed Green Salad,Cheesecake Factory,110,4,1,1.5,125,4,3,0,0,0,0,1234322,1.74781499
Tossed Green Salad with SK Mustard Vinaigrette,Cheesecake Factory,200,7,1,1.5,1030,5,4,0,0,0,0,1234322,0.792449771
Tossed Green Salad with SK Sesame Soy Dressing,Cheesecake Factory,220,17,1,1.5,1610,6,4,0,0,0,0,1234322,0.534987401
SkinnyLicious¨ Factory Chopped Salad,Cheesecake Factory,500,16,80,9,1500,29,11,0,0,0,0,1234322,1.254431583
SkinnyLicious¨ Asian Chicken Salad,Cheesecake Factory,590,25,80,3.5,2710,44,11,0,0,0,0,1234322,1.317697036
Mexican Tortilla Salad,Cheesecake Factory,550,19,65,4.5,1940,29,12,0,0,0,0,1234322,1.299608362
Seared Tuna Tataki Salad (HI),Cheesecake Factory,480,8,55,2.5,1380,42,5,0,0,0,0,1234322,1.946314832
SkinnyLicious¨ Hamburger,Cheesecake Factory,570,9,105,11,1180,35,3,0,0,0,0,1234322,1.074446447
Impossible¨ Burger,Cheesecake Factory,560,9,5,10,1520,30,8,0,0,0,0,1234322,1.352205631
SkinnyLicious¨ Crispy Chicken Sandwich,Cheesecake Factory,560,10,55,6,1190,25,3,0,0,0,0,1234322,1.025077252
SkinnyLicious¨ Spicy Crispy Chicken Sandwich,Cheesecake Factory,580,11,55,6,1290,25,3,0,0,0,0,1234322,0.976614536
SkinnyLicious¨ Grilled Turkey Burger,Cheesecake Factory,560,12,105,11,1030,29,5,0,0,0,0,1234322,1.015313248
SkinnyLicious¨ Turkey & Avocado Sandwich,Cheesecake Factory,550,10,80,8,1650,38,4,0,0,0,0,1234322,1.214132583
SkinnyLicious¨ Chicken Soft Tacos,Cheesecake Factory,510,13,80,3.5,830,32,12,0,0,0,0,1234322,2.02759401
SkinnyLicious¨ Shrimp Soft Tacos,Cheesecake Factory,510,13,185,3,940,31,12,0,0,0,0,1234322,1.550808689
SkinnyLicious¨ Chicken Pasta,Cheesecake Factory,590,10,90,1.5,1760,46,7,0,0,0,0,1234322,1.788752991
Tuscan Chicken,Cheesecake Factory,590,5,235,3.5,1020,81,5,0,0,0,0,1234322,2.502448552
Lemon-Garlic Shrimp,Cheesecake Factory,550,3,200,11,3610,33,5,0,0,0,0,1234322,0.671667037
SkinnyLicious¨ Grilled Salmon,Cheesecake Factory,590,12,105,7,1020,45,7,0,0,0,0,1234322,1.712861028
Grilled Steak Medallions,Cheesecake Factory,440,6,140,10,1320,45,4,0,0,0,0,1234322,1.386350625
Brown Rice,Flame Broiler,330,0,0,0,50,6,9,0,0,0,0,1234323,5.909695659
Salad,Flame Broiler,60,8,0,0,50,3,6,0,0,0,0,1234323,3.23848636
Veggies,Flame Broiler,60,6,0,0,30,3,5,0,0,0,0,1234323,3.658095238
White Rice,Flame Broiler,350,0,0,0,35,6,4,0,0,0,0,1234323,3.454693878
Angus Beef (Pre-Marinated),Flame Broiler,310,17,90,3.5,1000,36,0,0,0,0,0,1234323,1.281337047
Chicken (cooked without sauce),Flame Broiler,300,0,215,3.5,125,46,0,0,0,0,0,1234323,2.098512397
Chicken (cooked with sauce),Flame Broiler,300,5,230,3,580,45,0,0,0,0,0,1234323,1.585801839
Tofu (cooked without sauce),Flame Broiler,190,0,0,1.5,25,23,1,0,0,0,0,1234323,6.851820055
Tofu (cooked with sauce),Flame Broiler,200,2,0,1,420,23,3,0,0,0,0,1234323,3.805217536
White Meat Chicken (cooked without sauce),Flame Broiler,230,0,175,1.5,60,48,0,0,0,0,0,1234323,3.002175489
White Meat Chicken (cooked with sauce),Flame Broiler,290,6,175,3,660,45,0,0,0,0,0,1234323,1.750577888
Avocado,Flame Broiler,90,0,0,1,0,1,4,0,0,0,0,1234323,4.285714286
Naval Orange,Flame Broiler,70,12,0,0,0,1,3,0,0,0,0,1234323,1.155844156
Side - Salad,Flame Broiler,15,2,0,0,10,0,1,0,0,0,0,1234323,1.722072477
Chicken Finger,Raising Canes,130,0,40,1,190,13,1,0,0,0,0,1234324,2.233882824
Crinkle-Cut Fries,Raising Canes,390,1,0,2,310,5,7,0,0,0,0,1234324,1.945384244
Texas Toast,Raising Canes,140,4,0,1.5,260,4,1,0,0,0,0,1234324,0.855764814
Coleslaw,Raising Canes,100,7,5,1,310,1,1,0,0,0,0,1234324,0.355820596
Chicken Sandwich,Raising Canes,780,13,120,6,1470,48,5,0,0,0,0,1234324,1.430991413
The Kids Combo,Raising Canes,630,5,85,6,1100,29,5,0,0,0,0,1234324,1.284326166
The 3 Finger Combo,Raising Canes,1020,9,125,9,1640,47,10,0,0,0,0,1234324,1.428753865
The Box Combo,Raising Canes,1250,16,170,11,2130,61,12,0,0,0,0,1234324,1.379440573
The Caniac Combo,Raising Canes,1790,21,255,16,3160,89,15,0,0,0,0,1234324,1.33427097
The Chicken Sandwich Combo,Raising Canes,1080,13,120,8,1700,52,10,0,0,0,0,1234324,1.49322889
Lemonad - THE JUG,Raising Canes,1750,440,0,0,130,1,1,0,0,0,0,1234324,0.01431284
Chicken Parm Dip,Mendocino Farms,930,4,110,12,1990,46,3,0,0,0,0,1234325,1.080345982
French Countryside Cobb,Mendocino Farms,760,15,245,13,1490,31,7,0,0,0,0,1234325,0.778316565
"""Not So Fried"" Chicken",Mendocino Farms,900,10,85,6,1350,35,5,0,0,0,0,1234325,1.206636715
Peruvian Steak Sandwich,Mendocino Farms,760,13,110,13,2180,38,3,0,0,0,0,1234325,0.832352918
Prosciutto & Chicken,Mendocino Farms,830,8,90,11,1400,45,7,0,0,0,0,1234325,1.413682523
Mendo's Original Pork Belly Banh Mi,Mendocino Farms,780,10,70,11,780,24,4,0,0,0,0,1234325,0.909299739
Chimichurri Steak and Bacon,Mendocino Farms,940,18,110,10,2020,38,3,0,0,0,0,1234325,0.841909961
Vegan Banh Mi,Mendocino Farms,670,17,0,3.5,1580,22,4,0,0,0,0,1234325,0.948070317
The Farm Club,Mendocino Farms,760,7,100,8,1620,40,6,0,0,0,0,1234325,1.295264182
A Sandwich Study of Heat,Mendocino Farms,730,4,95,7,1670,40,7,0,0,0,0,1234325,1.428374275
Sweet Heat Crispy Thai Chicken Sandwich (turbo chef),Mendocino Farms,910,34,105,12,1950,35,6,0,0,0,0,1234325,0.779355549
Sweet Heat Thai Chicken Sandwich,Mendocino Farms,750,32,115,10,1750,30,5,0,0,0,0,1234325,0.731959405
Chicken Pesto Caprese,Mendocino Farms,860,5,90,10,1150,42,4,0,0,0,0,1234325,1.342701015
Chicken Pesto Caprese - Vegetarian,Mendocino Farms,1010,5,75,18,780,39,4,0,0,0,0,1234325,1.101718794
